species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Chinstrap,Biscoe,51.8,17.6,210.2,4027.2,
Chinstrap,Dream,43.3,16.7,196.7,3956.8,
Adelie,Biscoe,39.2,19.5,199.6,3934.3,
Gentoo,Biscoe,41.9,12.9,209.9,4765.9,
Adelie,Torgersen,37.5,17.8,181.3,4003.4,
Chinstrap,Biscoe,44.8,17.3,204.3,4142.5,
Chinstrap,Dream,52.9,19.1,185.8,3476.7,
Gentoo,Dream,41.9,14.6,199.3,5243.1,
Chinstrap,Dream,49.0,18.8,196.6,3547.0,
Gentoo,Biscoe,44.2,15.0,206.6,5216.5,
Adelie,Dream,37.2,17.9,179.8,4674.2,
Adelie,Torgersen,39.4,16.4,194.9,3394.1,female
Chinstrap,Dream,46.1,17.4,206.3,2734.1,male
Gentoo,Dream,51.3,15.7,201.8,3740.9,female
Chinstrap,Torgersen,51.1,17.3,203.0,3579.3,male
Adelie,Dream,43.8,18.7,194.1,3973.9,male
Chinstrap,Dream,50.5,19.1,195.2,4017.2,female
Gentoo,Biscoe,44.6,11.6,213.8,4553.8,male
Adelie,Torgersen,40.0,18.8,191.0,4272.8,female
Adelie,Dream,38.7,18.7,179.3,3552.1,male
Adelie,Torgersen,33.2,18.7,201.5,3475.1,female
Chinstrap,Biscoe,47.9,18.3,194.1,3616.1,male
Adelie,Biscoe,40.4,18.9,190.2,3703.5,male
Gentoo,Dream,50.9,14.5,221.9,5146.0,female
Adelie,Dream,42.9,17.5,186.1,3740.0,male
Chinstrap,Dream,47.7,18.1,201.9,4024.3,male
Chinstrap,Torgersen,47.0,17.9,203.2,3609.3,female
Gentoo,Dream,47.1,14.0,214.8,4829.2,female
Gentoo,Torgersen,49.4,14.4,218.7,5615.4,male
Chinstrap,Biscoe,45.0,16.6,196.3,3421.0,female
Chinstrap,Dream,50.1,19.3,193.1,2249.7,female
Chinstrap,Torgersen,50.4,19.5,187.9,4504.3,male
Chinstrap,Dream,50.2,18.3,188.9,3834.8,male
Gentoo,Torgersen,42.7,15.2,218.0,4799.7,female
Adelie,Torgersen,40.0,16.0,185.0,3743.1,male
Chinstrap,Biscoe,51.5,15.0,189.6,4058.3,female
Gentoo,Torgersen,47.8,15.5,227.1,5882.0,female
Adelie,Biscoe,37.5,17.1,186.0,3620.3,male
Gentoo,Biscoe,40.1,14.5,202.2,5409.4,female
Adelie,Torgersen,39.8,19.4,190.6,3257.5,male
Chinstrap,Torgersen,53.6,18.7,205.4,3308.3,female
Chinstrap,Biscoe,45.4,17.7,204.6,3813.1,female
Gentoo,Biscoe,47.3,14.3,224.0,5539.6,female
Gentoo,Biscoe,45.3,16.3,203.8,4701.1,female
Gentoo,Torgersen,47.0,16.0,218.3,4410.5,female
Adelie,Torgersen,35.1,18.6,180.4,3679.1,female
Chinstrap,Torgersen,43.6,17.9,190.0,3731.6,male
Chinstrap,Biscoe,49.9,17.4,202.2,4123.8,female
Gentoo,Biscoe,45.1,15.4,215.7,5241.5,female
Gentoo,Biscoe,50.9,16.9,222.5,4928.7,male
Chinstrap,Torgersen,51.3,19.5,198.1,4522.1,male
Chinstrap,Dream,46.5,18.5,202.4,4011.3,male
Gentoo,Torgersen,46.5,15.1,211.5,5609.6,male
Adelie,Dream,44.3,17.8,193.7,3658.4,female
Chinstrap,Torgersen,50.6,17.6,196.5,2825.0,female
Chinstrap,Biscoe,53.0,20.2,184.8,3416.8,male
Chinstrap,Biscoe,49.6,17.3,201.0,3508.0,female
Gentoo,Biscoe,47.4,14.5,218.8,4854.2,female
Chinstrap,Biscoe,47.0,19.3,201.7,3574.5,female
Adelie,Dream,46.3,16.8,189.6,4015.2,female
Gentoo,Dream,45.0,14.8,205.7,5249.9,male
Chinstrap,Biscoe,49.8,18.0,205.4,3818.6,female
Gentoo,Torgersen,47.1,16.3,210.7,4392.3,male
Chinstrap,Biscoe,51.5,17.8,197.3,4102.5,male
Gentoo,Biscoe,44.7,15.6,221.0,5088.4,female
Gentoo,Torgersen,46.1,15.2,213.0,4578.2,male
Gentoo,Dream,43.3,13.9,221.9,5089.8,male
Chinstrap,Biscoe,48.4,21.1,205.9,3642.3,female
Adelie,Dream,39.4,18.7,188.3,3879.9,male
Gentoo,Biscoe,47.1,17.1,229.4,5497.9,female
Chinstrap,Torgersen,47.0,18.6,193.7,3597.2,female
Adelie,Torgersen,39.4,16.1,183.5,3714.9,male
Gentoo,Torgersen,52.5,15.6,225.7,4558.8,female
Gentoo,Biscoe,51.2,13.9,203.7,4618.1,female
Gentoo,Dream,47.8,15.2,203.8,4039.1,female
Chinstrap,Biscoe,46.1,16.8,192.1,3224.5,female
Chinstrap,Biscoe,49.0,16.6,184.5,3589.0,female
Gentoo,Biscoe,47.0,15.5,215.7,5804.5,male
Adelie,Biscoe,36.1,18.0,178.0,3799.8,male
Gentoo,Dream,48.5,15.3,216.7,5824.2,female
Gentoo,Torgersen,48.1,15.0,215.6,5741.4,female
Adelie,Biscoe,38.1,19.4,181.3,3823.4,male
Gentoo,Biscoe,46.5,15.5,210.5,5069.9,female
Gentoo,Biscoe,50.0,15.0,233.0,4421.9,male
Gentoo,Torgersen,49.3,16.1,221.1,4922.0,female
Gentoo,Dream,50.5,13.8,219.0,6060.4,male
Chinstrap,Torgersen,53.0,20.5,192.6,3286.5,female
Adelie,Dream,37.5,18.9,190.3,3675.1,male
Chinstrap,Dream,50.8,17.7,209.1,3810.4,female
Chinstrap,Dream,40.4,20.7,189.6,3498.6,female
Chinstrap,Biscoe,48.8,18.4,190.0,3146.0,female
Adelie,Dream,36.6,18.4,192.0,2832.4,male
