date,product,region,quantity,unit_price
2026-01-01,Phone,North,2,120
2026-01-02,Smartwatch,East,4,180
2026-01-03,Laptop,South,2,500
2026-01-04,Phone,West,1,120
2026-01-05,Smartwatch,West,1,500
2026-01-06,Smartwatch,South,7,180
2026-01-07,Phone,East,5,1000
2026-01-08,Phone,North,7,250
2026-01-09,Laptop,North,4,1000
2026-01-10,Tablet,East,2,350
2026-01-11,Laptop,North,6,500
2026-01-12,Headphones,East,8,500
2026-01-13,Smartwatch,North,2,500
2026-01-14,Laptop,West,6,500
2026-01-15,Tablet,West,1,750
2026-01-16,Laptop,,2,1000
2026-01-17,Tablet,South,7,250
2026-01-18,Phone,North,3,250
2026-01-19,Smartwatch,East,5,750
2026-01-20,Phone,West,3,500
2026-01-21,Smartwatch,North,8,350
2026-01-22,Laptop,North,4,750
2026-01-23,Tablet,East,4,1000
2026-01-24,Phone,East,7,250
2026-01-25,Headphones,South,6,180
2026-01-26,Phone,North,8,180
2026-01-27,Smartwatch,North,4,750
2026-01-28,Tablet,South,7,500
2026-01-29,Laptop,South,4,180
2026-01-30,Phone,East,1,1000
2026-01-31,Smartwatch,South,3,1000
2026-02-01,Smartwatch,South,2,350
2026-02-02,Smartwatch,North,8,500
2026-02-03,Smartwatch,East,1,750
2026-02-04,Laptop,North,5,1000
2026-02-05,Headphones,West,5,350
2026-02-06,Smartwatch,North,1,750
2026-02-07,Tablet,East,3,500
2026-02-08,Phone,North,4,180
2026-02-09,Headphones,North,1,500
2026-02-10,Tablet,North,1,120
2026-02-11,Smartwatch,West,4,120
2026-02-12,Laptop,South,2,120
2026-02-13,Smartwatch,South,3,180
2026-02-14,Phone,South,3,250
2026-02-15,Headphones,North,4,750
2026-02-16,Laptop,South,6,350
2026-02-17,Tablet,East,4,180
2026-02-18,Smartwatch,West,1,500
2026-02-19,Laptop,East,4,120
2026-02-20,Tablet,East,4,120
2026-02-21,Tablet,West,2,500
2026-02-22,Smartwatch,West,8,180
2026-02-23,Headphones,South,8,180
2026-02-24,Headphones,East,4,120
2026-02-25,Headphones,South,6,350
2026-02-26,Laptop,East,1,750
2026-02-27,Laptop,North,7,750
2026-02-28,Smartwatch,West,4,180
2026-03-01,Phone,South,8,180
2026-03-02,Laptop,West,5,350
2026-03-03,Laptop,East,8,1000
2026-03-04,Phone,West,1,120
2026-03-05,Phone,South,7,350
2026-03-06,Headphones,West,7,120
2026-03-07,Headphones,North,1,350
2026-03-08,Phone,South,5,350
2026-03-09,Laptop,West,4,250
2026-03-10,Laptop,North,1,750
2026-03-11,Smartwatch,South,1,500
2026-03-12,Phone,East,3,120
2026-03-13,Phone,East,2,500
2026-03-14,Smartwatch,West,7,120
2026-03-15,Headphones,East,1,500
2026-03-16,Tablet,West,6,250
2026-03-17,Phone,South,4,250
2026-03-18,Laptop,North,5,350
2026-03-19,Laptop,East,1,350
2026-03-20,Phone,North,4,500
2026-03-21,Tablet,West,6,120
2026-03-22,Smartwatch,South,5,180
2026-03-23,Smartwatch,East,5,500
2026-03-24,Phone,East,5,750
2026-03-25,Smartwatch,East,5,120
2026-03-26,Smartwatch,North,3,250
2026-03-27,Phone,North,4,750
2026-03-28,Tablet,South,5,500
2026-03-29,Tablet,South,1,120
2026-03-30,Phone,,1,120
2026-03-31,Smartwatch,South,5,180
2026-04-01,Laptop,East,7,500
2026-04-02,Smartwatch,West,2,750
2026-04-03,Smartwatch,North,1,1000
2026-04-04,Laptop,West,3,350
2026-04-05,Tablet,East,5,250
2026-04-06,Laptop,West,4,750
2026-04-07,Smartwatch,South,6,1000
2026-04-08,Phone,West,3,180
2026-04-09,Tablet,West,7,120
2026-04-10,Tablet,West,7,1000
2026-04-11,Headphones,East,3,1000
2026-04-12,Phone,South,1,1000
2026-04-13,Tablet,South,4,1000
2026-04-14,Phone,West,5,1000
2026-04-15,Headphones,West,1,750
2026-04-16,Tablet,East,6,250
2026-04-17,Smartwatch,South,6,750
2026-04-18,Tablet,East,6,120
2026-04-19,Laptop,North,3,500
2026-04-20,Tablet,South,2,500
2026-04-21,Headphones,East,6,350
2026-04-22,Headphones,East,4,250
2026-04-23,Tablet,West,1,500
2026-04-24,Smartwatch,North,7,120
2026-04-25,Tablet,East,6,750
2026-04-26,Tablet,South,5,750
2026-04-27,Smartwatch,North,7,750
2026-04-28,Headphones,South,3,180
2026-04-29,Headphones,North,3,500
2026-04-30,Phone,North,1,250
